team,champ
Brooklyn Nets,2.1935804
Milwaukee Bucks,2.1916554
Denver Nuggets,2.1082618
Los Angeles Clippers,2.1066031
Utah Jazz,2.1061268
New Orleans Pelicans,2.1026928
Phoenix Suns,2.0834827
Portland Trail Blazers,2.0726278
Sacramento Kings,2.0714128
Atlanta Hawks,2.0643291
Washington Wizards,2.063496
Boston Celtics,2.043644
Memphis Grizzlies,2.028418
Golden State Warriors,2.0236785
Chicago Bulls,2.0210466
Philadelphia 76ers,2.019622
Minnesota Timberwolves,2.0085406
Indiana Pacers,2.0056546
Dallas Mavericks,1.9867727
San Antonio Spurs,1.9849561
Toronto Raptors,1.9815398
Charlotte Hornets,1.9714009
Los Angeles Lakers,1.9668149
Houston Rockets,1.9353732
Miami Heat,1.9303333
Detroit Pistons,1.9096049
Oklahoma City Thunder,1.8993477
New York Knicks,1.8992163
Orlando Magic,1.8870136
Cleveland Cavaliers,1.870015
