team,champ
Golden State Warriors,-15.484969
Washington Wizards,-15.424912
Minnesota Timberwolves,-15.077564
Brooklyn Nets,-14.929496
Chicago Bulls,-14.817191
Toronto Raptors,-14.764014
Boston Celtics,-14.761514
Detroit Pistons,-14.701079
Los Angeles Clippers,-14.597574
Philadelphia 76ers,-14.558484
Denver Nuggets,-14.542267
Phoenix Suns,-14.478171
Indiana Pacers,-14.467576
Atlanta Hawks,-14.466871
Sacramento Kings,-14.453572
New Orleans Pelicans,-14.448088
Los Angeles Lakers,-14.387473
Miami Heat,-14.335311
Houston Rockets,-14.23022
Utah Jazz,-14.208102
Milwaukee Bucks,-14.194957
Memphis Grizzlies,-14.194691
Charlotte Hornets,-14.154745
Cleveland Cavaliers,-14.074858
Oklahoma City Thunder,-14.065986
New York Knicks,-13.944011
Dallas Mavericks,-13.559487
Portland Trail Blazers,-13.468665
San Antonio Spurs,-13.3214245
Orlando Magic,-12.9598465
