team,champ
Brooklyn Nets,89.76758
Milwaukee Bucks,89.11415
Denver Nuggets,86.70239
Phoenix Suns,85.289345
New Orleans Pelicans,85.17905
Utah Jazz,84.035805
Memphis Grizzlies,83.304504
Los Angeles Clippers,83.113235
Sacramento Kings,82.70855
Indiana Pacers,82.54442
Chicago Bulls,82.103294
Charlotte Hornets,81.58218
Golden State Warriors,81.42031
Atlanta Hawks,81.15502
San Antonio Spurs,80.812904
Philadelphia 76ers,79.51581
Minnesota Timberwolves,79.50904
Boston Celtics,79.3728
Washington Wizards,79.28741
Portland Trail Blazers,79.121994
Los Angeles Lakers,79.02367
Miami Heat,78.39395
Toronto Raptors,77.84159
Dallas Mavericks,76.970924
Houston Rockets,75.18533
Detroit Pistons,74.80132
Orlando Magic,74.25834
Cleveland Cavaliers,74.08222
Oklahoma City Thunder,72.762344
New York Knicks,72.248344
