team,champ
Oklahoma City Thunder,-0.5537297
New York Knicks,-0.5908049
Detroit Pistons,-0.5932084
Houston Rockets,-0.62549686
Cleveland Cavaliers,-0.6312012
Orlando Magic,-0.63603944
Washington Wizards,-0.6482361
Portland Trail Blazers,-0.66562724
Dallas Mavericks,-0.6712703
Minnesota Timberwolves,-0.6816458
Toronto Raptors,-0.6829721
Boston Celtics,-0.70252496
Philadelphia 76ers,-0.73635596
Sacramento Kings,-0.73664033
Atlanta Hawks,-0.73878664
San Antonio Spurs,-0.7455633
Golden State Warriors,-0.74829453
Los Angeles Clippers,-0.75718534
Los Angeles Lakers,-0.7589124
Miami Heat,-0.7646916
New Orleans Pelicans,-0.80084413
Memphis Grizzlies,-0.8029232
Chicago Bulls,-0.8050469
Utah Jazz,-0.8219408
Charlotte Hornets,-0.8267707
Phoenix Suns,-0.8272133
Indiana Pacers,-0.8334082
Milwaukee Bucks,-0.8433904
Denver Nuggets,-0.85382646
Brooklyn Nets,-0.873725
