"season","lg","team","abbreviation","playoffs","g","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","champs"
2021,"NBA","Atlanta Hawks","ATL",FALSE,64,15485,2575,5579,0.462,792,2142,0.37,1783,3437,0.519,1267,1561,0.812,687,2214,2901,1528,443,299,858,1245,7209,0
2021,"NBA","Boston Celtics","BOS",FALSE,64,15460,2648,5677,0.466,854,2296,0.372,1794,3381,0.531,1054,1357,0.777,695,2152,2847,1493,504,332,910,1303,7204,0
2021,"NBA","Chicago Bulls","CHI",FALSE,63,15220,2664,5570,0.478,779,2126,0.366,1885,3444,0.547,892,1118,0.798,593,2221,2814,1695,415,266,973,1195,6999,0
2021,"NBA","Charlotte Hornets","CHO",FALSE,62,14930,2480,5418,0.458,864,2294,0.377,1616,3124,0.517,985,1283,0.768,641,2047,2688,1670,487,295,937,1116,6809,0
2021,"NBA","Cleveland Cavaliers","CLE",FALSE,63,15245,2452,5408,0.453,614,1836,0.334,1838,3572,0.515,1023,1378,0.742,660,2020,2680,1511,509,297,976,1169,6541,0
2021,"NBA","Dallas Mavericks","DAL",FALSE,62,14905,2533,5402,0.469,849,2355,0.361,1684,3047,0.553,1019,1314,0.775,552,2147,2699,1392,379,270,747,1198,6934,0
2021,"NBA","Denver Nuggets","DEN",FALSE,63,15320,2744,5625,0.488,818,2150,0.38,1926,3475,0.554,976,1227,0.795,665,2140,2805,1705,509,291,855,1183,7282,0
2021,"NBA","Detroit Pistons","DET",FALSE,63,15270,2435,5403,0.451,739,2082,0.355,1696,3321,0.511,1153,1505,0.766,618,2086,2704,1535,478,323,940,1307,6762,0
2021,"NBA","Golden State Warriors","GSW",FALSE,63,15145,2588,5562,0.465,890,2385,0.373,1698,3177,0.534,1049,1346,0.779,507,2187,2694,1725,523,301,945,1345,7115,0
2021,"NBA","Houston Rockets","HOU",FALSE,63,15145,2465,5569,0.443,847,2517,0.337,1618,3052,0.53,1040,1402,0.742,585,2102,2687,1453,480,325,924,1232,6817,0
2021,"NBA","Indiana Pacers","IND",FALSE,62,15030,2640,5634,0.469,760,2130,0.357,1880,3504,0.537,1024,1296,0.79,562,2063,2625,1654,528,396,832,1258,7064,0
2021,"NBA","Los Angeles Clippers","LAC",FALSE,64,15360,2687,5569,0.482,920,2209,0.416,1767,3360,0.526,1033,1236,0.836,610,2225,2835,1561,452,263,839,1250,7327,0
2021,"NBA","Los Angeles Lakers","LAL",FALSE,63,15270,2568,5421,0.474,697,1981,0.352,1871,3440,0.544,1072,1441,0.744,605,2188,2793,1547,497,343,968,1203,6905,0
2021,"NBA","Memphis Grizzlies","MEM",FALSE,62,15005,2661,5709,0.466,686,1925,0.356,1975,3784,0.522,1017,1305,0.779,682,2190,2872,1669,581,289,815,1174,7025,0
2021,"NBA","Miami Heat","MIA",FALSE,63,15220,2426,5259,0.461,792,2276,0.348,1634,2983,0.548,1065,1347,0.791,503,2128,2631,1640,490,255,900,1193,6709,0
