season,lg.x,team,abbreviation.x,playoffs.x,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,champs,lg.y,abbreviation.y,playoffs.y,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g,wpct
2021,NBA,Atlanta Hawks,ATL,FALSE,64,15485,2575,5579,0.462,792,2142,0.37,1783,3437,0.519,1267,1561,0.812,687,2214,2901,1528,443,299,858,1245,7209,0,NBA,ATL,FALSE,25.3,34,30,34,30,1.02,0.11,1.13,114.8,113.7,1.1,97.4,0.28,0.384,0.575,0.533,12,24.6,0.227,0.531,11.2,77.4,0.194,State Farm Arena,37810,1304,0.53125
2021,NBA,Boston Celtics,BOS,FALSE,64,15460,2648,5677,0.466,854,2296,0.372,1794,3381,0.531,1054,1357,0.777,695,2152,2847,1493,504,332,910,1303,7204,0,NBA,BOS,FALSE,25.2,34,30,35,29,1.73,0.17,1.91,114,112.2,1.8,98.1,0.239,0.404,0.574,0.542,12.7,24.9,0.186,0.538,12.9,77.9,0.212,TD Garden,22980,696,0.53125
2021,NBA,Chicago Bulls,CHI,FALSE,63,15220,2664,5570,0.478,779,2126,0.366,1885,3444,0.547,892,1118,0.798,593,2221,2814,1695,415,266,973,1195,6999,0,NBA,CHI,FALSE,25.5,26,37,29,34,-1.46,-0.29,-1.75,111.1,112.5,-1.4,99.4,0.201,0.382,0.577,0.548,13.8,22,0.16,0.539,11.5,80.3,0.199,United Center,0,0,0.412698413
2021,NBA,Charlotte Hornets,CHO,FALSE,62,14930,2480,5418,0.458,864,2294,0.377,1616,3124,0.517,985,1283,0.768,641,2047,2688,1670,487,295,937,1116,6809,0,NBA,CHO,FALSE,24.7,30,32,28,34,-1.45,0.08,-1.37,111.2,112.7,-1.5,98.4,0.237,0.423,0.569,0.537,13.5,23.1,0.182,0.551,13.4,75.8,0.162,Spectrum Center,40239,1388,0.483870968
2021,NBA,Cleveland Cavaliers,CLE,FALSE,63,15245,2452,5408,0.453,614,1836,0.334,1838,3572,0.515,1023,1378,0.742,660,2020,2680,1511,509,297,976,1169,6541,0,NBA,CLE,FALSE,24,21,42,18,45,-7.33,0.04,-7.29,105.8,113.3,-7.5,97.3,0.255,0.339,0.544,0.51,14,23.7,0.189,0.553,13.6,76.4,0.186,Quicken Loans Arena,66588,2220,0.333333333
2021,NBA,Dallas Mavericks,DAL,FALSE,62,14905,2533,5402,0.469,849,2355,0.361,1684,3047,0.553,1019,1314,0.775,552,2147,2699,1392,379,270,747,1198,6934,0,NBA,DAL,FALSE,26.3,35,27,35,27,2.11,0.34,2.45,114.8,112.6,2.2,97.3,0.243,0.436,0.58,0.547,11.1,20.6,0.189,0.532,11.4,78,0.196,American Airlines Center,68542,2285,0.564516129
2021,NBA,Denver Nuggets,DEN,FALSE,63,15320,2744,5625,0.488,818,2150,0.38,1926,3475,0.554,976,1227,0.795,665,2140,2805,1705,509,291,855,1183,7282,0,NBA,DEN,FALSE,26,42,21,42,21,5.35,-0.36,4.99,117.5,112,5.5,97.1,0.218,0.382,0.591,0.561,12.2,24.8,0.174,0.544,12.9,78.9,0.195,Ball Arena,46481,1367,0.666666667
2021,NBA,Detroit Pistons,DET,FALSE,63,15270,2435,5403,0.451,739,2082,0.355,1696,3321,0.511,1153,1505,0.766,618,2086,2704,1535,478,323,940,1307,6762,0,NBA,DET,FALSE,24.9,19,44,24,39,-3.84,0.2,-3.64,108.5,112.4,-3.9,97.9,0.279,0.385,0.557,0.519,13.4,22.3,0.213,0.541,12.8,76.9,0.199,Little Caesars Arena,9000,310,0.301587302
2021,NBA,Golden State Warriors,GSW,FALSE,63,15145,2588,5562,0.465,890,2385,0.373,1698,3177,0.534,1049,1346,0.779,507,2187,2694,1725,523,301,945,1345,7115,0,NBA,GSW,FALSE,26.7,31,32,30,33,-0.7,0.23,-0.47,110.2,110.9,-0.7,102.3,0.242,0.429,0.578,0.545,13.3,17.9,0.189,0.527,13.3,76.5,0.227,Chase Center,8800,293,0.492063492
2021,NBA,Houston Rockets,HOU,FALSE,63,15145,2465,5569,0.443,847,2517,0.337,1618,3052,0.53,1040,1402,0.742,585,2102,2687,1453,480,325,924,1232,6817,0,NBA,HOU,FALSE,26.9,16,47,18,45,-7.1,-0.09,-7.18,106.7,113.7,-7,101.2,0.252,0.452,0.551,0.519,13,19.8,0.187,0.548,13,76.8,0.2,Toyota Center,102490,3203,0.253968254
2021,NBA,Indiana Pacers,IND,FALSE,62,15030,2640,5634,0.469,760,2130,0.357,1880,3504,0.537,1024,1296,0.79,562,2063,2625,1654,528,396,832,1258,7064,0,NBA,IND,FALSE,26.7,29,33,29,33,-0.9,0.1,-0.8,111.6,112.5,-0.9,101,0.23,0.378,0.569,0.536,11.8,20.2,0.182,0.534,13,75,0.203,Bankers Life Fieldhouse,0,0,0.467741935
2021,NBA,Los Angeles Clippers,LAC,FALSE,64,15360,2687,5569,0.482,920,2209,0.416,1767,3360,0.526,1033,1236,0.836,610,2225,2835,1561,452,263,839,1250,7327,0,NBA,LAC,FALSE,28.8,43,21,44,20,6.22,-0.08,6.14,117.9,111.5,6.4,97.1,0.222,0.397,0.599,0.565,12.1,22.9,0.185,0.532,11.9,79.2,0.189,STAPLES Center,3516,110,0.671875
2021,NBA,Los Angeles Lakers,LAL,FALSE,63,15270,2568,5421,0.474,697,1981,0.352,1871,3440,0.544,1072,1441,0.744,605,2188,2793,1547,497,343,968,1203,6905,0,NBA,LAL,FALSE,28.3,36,27,38,25,3.13,-0.24,2.89,109.9,106.8,3.1,98.7,0.266,0.365,0.57,0.538,13.8,22.5,0.198,0.524,13.8,79.4,0.179,STAPLES Center,8025,259,0.571428571
2021,NBA,Memphis Grizzlies,MEM,FALSE,62,15005,2661,5709,0.466,686,1925,0.356,1975,3784,0.522,1017,1305,0.779,682,2190,2872,1669,581,289,815,1174,7025,0,NBA,MEM,FALSE,24.3,32,30,33,29,0.97,0.38,1.35,111.7,110.7,1,100.6,0.229,0.337,0.559,0.526,11.5,23.7,0.178,0.536,13.4,78.7,0.198,FedEx Forum,47091,1519,0.516129032
2021,NBA,Miami Heat,MIA,FALSE,63,15220,2426,5259,0.461,792,2276,0.348,1634,2983,0.548,1065,1347,0.791,503,2128,2631,1640,490,255,900,1193,6709,0,NBA,MIA,FALSE,27.3,33,30,30,33,-0.71,-0.05,-0.77,109.5,110.3,-0.8,96.6,0.256,0.433,0.573,0.537,13.3,19.1,0.203,0.536,13.9,77.5,0.182,AmericanAirlines Arena,0,0,0.523809524
2021,NBA,Milwaukee Bucks,MIL,FALSE,63,15170,2802,5765,0.486,915,2336,0.392,1887,3429,0.55,998,1312,0.761,645,2385,3030,1613,519,288,883,1091,7517,0,NBA,MIL,FALSE,28,39,24,43,20,6.32,-0.16,6.16,116.7,110.6,6.1,101.9,0.228,0.405,0.593,0.565,12.2,23.3,0.173,0.532,11.6,79.7,0.157,Fiserv Forum,45100,1503,0.619047619
2021,NBA,Minnesota Timberwolves,MIN,FALSE,64,15460,2580,5801,0.445,832,2371,0.351,1748,3430,0.51,1104,1442,0.766,658,2109,2767,1615,558,351,918,1331,7096,0,NBA,MIN,FALSE,23.2,20,44,20,44,-6.59,0.4,-6.19,108.6,115.1,-6.5,101.4,0.249,0.409,0.551,0.516,12.5,22.2,0.19,0.556,13.2,76.9,0.207,Target Center,7786,251,0.3125
2021,NBA,New Orleans Pelicans,NOP,FALSE,63,15245,2687,5575,0.482,673,1923,0.35,2014,3652,0.551,1192,1626,0.733,727,2235,2962,1644,474,274,920,1140,7239,0,NBA,NOP,FALSE,24.8,28,35,32,31,0.37,0.02,0.38,114.4,114.1,0.3,99.6,0.292,0.345,0.575,0.542,12.8,26.4,0.214,0.55,11.9,79.9,0.189,Smoothie King Center,82020,2485,0.444444444
2021,NBA,New York Knicks,NYK,FALSE,63,15220,2488,5450,0.457,725,1874,0.387,1763,3576,0.493,1042,1338,0.779,636,2223,2859,1346,451,313,830,1288,6743,0,NBA,NYK,FALSE,25.5,35,28,36,27,2.3,-0.41,1.9,110.8,108.4,2.4,96,0.246,0.344,0.558,0.523,12.1,22.9,0.191,0.514,11.8,79,0.194,Madison Square Garden (IV),36188,1097,0.555555556
2021,NBA,Oklahoma City Thunder,OKC,FALSE,63,15195,2444,5506,0.444,773,2244,0.344,1671,3262,0.512,977,1335,0.732,601,2268,2869,1401,440,281,1036,1152,6638,0,NBA,OKC,FALSE,23,21,42,15,48,-9.32,0.4,-8.92,103.8,113,-9.2,101,0.242,0.408,0.545,0.514,14.5,20.6,0.177,0.54,11.5,77.7,0.165,Chesapeake Energy Arena,0,0,0.333333333
